Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop_mainDF,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature 2022,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
Albania,ALB,18916378860.5488,2777689.0,4954730.0,7.0,50.04904,78.0831029844348,2.3119686,2071012.0,1399098.0,27400.0,1.0,15.0,13.3,113.041666666667,1441381891.41694,6.72520271530049,97.0,81.6,63.0
Algeria,DZA,194998449769.085,44903225.0,176345140.0,7.0,49.075874,25.09815044261,1.5731823,27331100.0,13425064.0,2381741.0,1.0,26.0,24.1,141.994975,75640098.0874956,9.26551551551553,73.0,77.8,5506.0
Armenia,ARM,19513474648.2429,2780469.0,6407760.0,6.0,54.97991,81.9926793557833,2.1856172,2146572.0,1355546.0,28470.0,2.0,18.0,8.6,435.6661796523,998055425.363603,8.64091108973855,100.0,85.1,42.0
Australia,AUS,1692956646855.7,26005540.0,392279260.0,9.0,50.357998,86.2043355800625,0.74456745,23000366.0,14293694.0,7692020.0,3.0,30.0,22.0,1.44166445896522,70084936395.4025,6.59409671341846,99.0,94.0,18950.0
Azerbaijan,AZE,78721058823.5294,10141756.0,38062656.0,6.0,50.652264,92.026650647152,1.9102119,8701069.0,5518226.0,82646.0,1.0,20.0,13.8,1.7,-4474481000.0,13.8522590144267,100.0,79.0,2412.0
Bahrain,BHR,44383297872.3404,1472233.0,37795670.0,6.0,37.902634,50.6693148420279,0.068340294,1472602.0,855301.0,785.0,0.0,0.0,28.8,0.376,1951329787.23404,3.62574104304482,95.0,96.5,1045.0
Botswana,BWA,20355541962.8512,2630296.0,7467293.0,7.0,50.636547,86.2536371755351,10.546963,1629699.0,1170359.0,566730.0,2.0,22.0,22.0,12.3688083333333,216459291.052761,11.665567478802,87.0,74.0,51.0
Bulgaria,BGR,90346169914.9349,6465097.0,46147496.0,10.0,51.504242,80.1000671376962,1.2779799,4896594.0,3081382.0,108560.0,2.0,10.0,12.3,1.86014166666667,3216630000.0,15.3252589264366,98.0,85.6,453.0
Canada,CAN,2161483369422.01,38929902.0,547943900.0,8.0,50.307953,88.2009261530028,2.0652595,36740677.0,21639790.0,8965590.0,2.0,26.21,-4.2,1.30155477474355,49984660121.8887,6.80280115341613,99.0,87.2,21671.0
Chile,CHL,301024724911.923,19603733.0,84377720.0,9.0,50.36716,72.7971988637962,3.6320386,17042181.0,9847754.0,743532.0,3.0,27.0,9.4,873.314189543014,20864902958.1511,11.6438667110561,97.0,90.7,535.0
Colombia,COL,343622114560.409,51874024.0,99717870.0,8.0,50.665882,67.8843970320298,27.484365,35544505.0,26003385.0,1109500.0,2.0,35.0,24.7,4256.19416666667,17182521349.9059,10.1772313546166,93.0,71.9,4025.0
Costa Rica,CRI,69243626028.6696,5180829.0,7888694.0,7.0,49.9658,63.4084822377464,11.40871,4125648.0,2407610.0,51060.0,3.0,30.0,24.6,647.135817631363,3673404328.97314,8.27477490232654,97.0,83.9,116.0
Croatia,HRV,71600049650.195,3855600.0,17526086.0,9.0,51.310783,83.119157865529,0.81278074,3208708.0,1735594.0,55960.0,2.0,18.0,13.2,7.1597415,3589230734.05033,10.7805806758686,99.0,87.1,157.0
Denmark,DNK,400167196948.707,5903037.0,29059308.0,8.0,50.25561,87.8042663676865,0.80283684,5624604.0,3169686.0,40000.0,3.0,22.0,9.8,7.0761518625,34212739239.5954,7.6965669988926,99.0,96.9,385.0
Dominican Republic,DOM,113537368176.13,11228821.0,23637946.0,7.0,49.79055,68.0352522426678,10.541584,8458745.0,5301571.0,48310.0,2.0,27.0,24.6,55.1409916666667,3961600000.0,8.81109209279587,90.0,75.0,44.0
Ecuador,ECU,115049476000.0,18001000.0,41613410.0,7.0,50.06762,68.2559034907597,14.024255,11362233.0,8893065.0,248360.0,2.0,25.0,21.1,1.0,845052803.529517,3.46616972213077,92.0,68.2,1167.0
El Salvador,SLV,32488720000.0,6336392.0,7714380.0,7.0,52.38183,60.2500555824386,18.165499,3435919.0,2870401.0,20720.0,1.0,30.0,25.2,1.0,-388706.860000312,7.19861615609791,84.0,61.9,87.0
Ghana,GHA,73766052451.5256,33475870.0,20806944.0,9.0,50.124813,90.0909605377576,1.8365651,18664633.0,14887115.0,227533.0,2.0,25.0,27.7,8.2724,1510872058.18097,31.2558951049016,71.0,65.9,704.0
Guatemala,GTM,95003330315.8754,17357886.0,19193244.0,7.0,50.49562,50.350883684217,19.990364,8676149.0,7257455.0,107160.0,1.0,25.0,23.8,7.74824375,1386717660.0,6.88512823344287,78.0,54.8,360.0
Honduras,HND,31717699764.3621,10432860.0,11159723.0,8.0,49.49866,66.0247246929267,38.245457,4256201.0,4675950.0,111890.0,2.0,30.0,24.7,24.4858737291131,758999597.634192,9.08963911525025,85.0,56.3,101.0
Hungary,HUN,177337436677.365,9643048.0,44353616.0,10.0,52.06605,78.5974313422838,0.7724166,8265671.0,4936209.0,91260.0,1.0,9.0,12.6,372.595833333333,-10235193158.6733,14.6081439492433,99.0,86.8,449.0
Iceland,ISL,28064529851.3098,382003.0,3542503.0,7.0,48.742893,89.2519138420778,0.5400516,363015.0,233608.0,100830.0,3.0,20.0,2.1,135.27990200138,1220864330.61939,8.3087551155892,99.0,94.8,335.0
Israel,ISR,525002447652.773,9557500.0,56118090.0,6.0,50.14469,88.5359859226619,1.9438074,7892890.0,4527473.0,21640.0,3.0,23.0,20.2,3.35961440158189,23031200000.0,4.39359665912654,98.0,91.1,495.0
Japan,JPN,4256410760723.75,125124989.0,1053797800.0,9.0,51.395287,76.6660144238833,0.22870894,112995146.0,69278589.0,364500.0,3.0,29.74,12.4,131.498140443764,49278835164.4328,2.49770278172255,99.0,92.0,1811.0
