,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
0,Afghanistan,AFG,,41128771.0,12147948.0,5.0,49.488403,6.98535794895538,4.0224977,7170891.0,8920521.0,652230.0,0.0,20.0,14.5,,,,32.0,,71.0
1,Albania,ALB,18916378860.5488,2777689.0,4954730.0,7.0,50.04904,78.0831029844348,2.3119686,2071012.0,1399098.0,27400.0,1.0,15.0,13.3,113.041666666667,1441381891.41694,6.72520271530049,97.0,81.6,63.0
2,Algeria,DZA,194998449769.085,44903225.0,176345140.0,7.0,49.075874,25.09815044261,1.5731823,27331100.0,13425064.0,2381741.0,1.0,26.0,24.1,141.994975,75640098.0874956,9.26551551551553,73.0,77.8,5506.0
3,American Samoa,ASM,871000000.0,44273.0,,,50.50738,0.0,,,,200.0,,34.0,,,,,,,0.0
4,Andorra,AND,3352031094.22914,79824.0,368645.0,,48.932106,0.0,,,,470.0,,10.0,,0.950915533962108,,,100.0,87.2,1.0
5,Angola,AGO,106782770714.619,35588987.0,16070269.0,7.0,50.580795,93.5988473808789,,12034256.0,15222540.0,1246700.0,1.0,25.0,21.6,460.567511631462,-6598652652.09389,,71.0,44.1,3253.0
6,Antigua and Barbuda,ATG,1867733333.33333,93763.0,602192.0,,52.252224,0.0,17.163792,,,440.0,,25.0,,2.7,301726890.547669,7.53107834634289,99.0,79.7,0.0
7,Argentina,ARG,631133384439.944,46234830.0,192864430.0,8.0,50.493736,71.4898403993532,4.6226788,38505807.0,21842876.0,2736690.0,2.0,35.0,15.4,130.61655,15408346793.7001,,98.0,81.5,3108.0
8,Armenia,ARM,19513474648.2429,2780469.0,6407760.0,6.0,54.97991,81.9926793557833,2.1856172,2146572.0,1355546.0,28470.0,2.0,18.0,8.6,435.6661796523,998055425.363603,8.64091108973855,100.0,85.1,42.0
9,Aruba,ABW,3544707788.05664,106445.0,865874.0,,52.87365,0.0,,,,180.0,,22.0,,1.79,248150282.616618,,,,1.0
10,Australia,AUS,1692956646855.7,26005540.0,392279260.0,9.0,50.357998,86.2043355800625,0.74456745,23000366.0,14293694.0,7692020.0,3.0,30.0,22.0,1.44166445896522,70084936395.4025,6.59409671341846,99.0,94.0,18950.0
11,Austria,AUT,470941926750.741,9041851.0,61488424.0,8.0,50.783787,84.8479411500852,0.7285295,7796929.0,4784783.0,82520.0,2.0,24.0,8.7,,10114413567.4107,8.5468699318845,98.0,92.5,501.0
12,Azerbaijan,AZE,78721058823.5294,10141756.0,38062656.0,6.0,50.652264,92.026650647152,1.9102119,8701069.0,5518226.0,82646.0,1.0,20.0,13.8,1.7,-4474481000.0,13.8522590144267,100.0,79.0,2412.0
13,"Bahamas, The",BHS,12897400000.0,409984.0,2120000.0,3.0,52.188004,82.1559235092219,29.173424,353636.0,242250.0,10010.0,,0.0,,1.0,530913950.39875,5.60540633583044,96.0,88.5,0.0
14,Bahrain,BHR,44383297872.3404,1472233.0,37795670.0,6.0,37.902634,50.6693148420279,0.068340294,1472602.0,855301.0,785.0,0.0,0.0,28.8,0.376,1951329787.23404,3.62574104304482,95.0,96.5,1045.0
15,Bangladesh,BGD,460201265527.977,171186372.0,102103340.0,8.0,50.401543,46.1686253961125,,41520393.0,74913612.0,130170.0,1.0,27.5,25.7,91.7454544396961,1634888030.42698,7.69695437176858,60.0,61.1,1457.0
16,Barbados,BRB,5699950000.0,281635.0,1232837.0,3.0,52.0505,88.7081122062168,11.379821,,145851.0,430.0,3.0,5.5,,2.0,200000000.0,,100.0,77.3,2.0
17,Belarus,BLR,72793457588.4367,9228071.0,58801130.0,7.0,53.905544,82.8205164050159,,8197353.0,4960878.0,202980.0,1.0,20.0,8.0,2.6261,1613025743.38,15.2096752740809,100.0,86.9,187.0
18,Belgium,BEL,583435595579.963,11685814.0,89605360.0,8.0,50.610302,85.0311185870479,1.0765264,10582024.0,5382321.0,30280.0,3.0,25.0,12.0,,12484998787.3917,9.597511728725,99.0,88.2,571.0
19,Belize,BLZ,2830507575.6841,405272.0,725231.0,,49.696148,65.0916592067878,31.247578,,190064.0,22810.0,,0.0,,2.0,140907967.620593,6.27689319447544,83.0,,7.0
